pc4;energylabel_average;standardize
0;3,333573487;0,460270726
1011;3,333573487;0,460270726
1012;3,486772487;0,424837523
1013;3,335910321;0,459730243
1014;4,547619048;0,179475657
1015;4,61865285;0,163046339
1016;3,640218878;0,3893471
1017;3,838427948;0,343503574
1018;3,1561329;0,501310736
1019;2,878323932;0,565564823
1021;3,593921486;0,400055166
1022;3,663013699;0,384074915
1023;4,433962264;0,205763192
1024;3,692330211;0,377294336
1025;4,43676815;0,205114222
1026;5;0,074845037
1027;4,12;0,278379129
1028;3,25;0,479600333
1031;4,712482468;0,141344604
1032;4,791457286;0,123078618
1033;3,038110154;0,528608069
1034;3,644564379;0,388342035
1035;3,721058434;0,370649821
1036;1,413043478;0,904467694
1037;4;0,306133777
1041;3,25;0,479
1042;2;0,768711259
1043;3,741935484;0,365821194
1044;5;0,074845037
1045;3,333573487;0,460270726
1046;4,6;0,167360533
1047;1;1
1051;3,813059809;0,349370939
1052;4,105841924;0,281653732
1053;3,532839602;0,414182718
1054;3,556068879;0,408810047
1055;4,905253499;0,096758835
1056;4,369657423;0,220636177
1057;4,713452188;0,141120319
1058;4,654266958;0,154809197
1059;5,323611111;-2,57E-06
1060;2,673758865;0,61287842
1061;4,705547653;0,142948549
1062;4,899807322;0,098018475
1063;4,628622647;0,160740437
1064;4,418202122;0,209408335
1065;4,612176814;0,164544173
1066;3,072179077;0,52072831
1067;4,242109635;0,250136545
1068;4,625717322;0,161412406
1069;3,217937015;0,48701614
1071;3,56271777;0,407272234
1072;2,943470888;0,550497065
1073;4,124448367;0,277350271
1074;4,144455748;0,272722789
1075;4,863678805;0,106374594
1076;4,595790378;0,168334171
1077;4,485875706;0,193756197
1078;4,597789116;0,167871885
1079;4,903547672;0,097153374
1081;4,134637514;0,274993636
1082;4,557983943;0,177078374
1083;3,785753127;0,355686667
1086;1,87628866;0,797324299
1087;1,883928571;0,795557274
1091;3,74853114;0,364295693
1092;3,793950851;0,353790626
1093;3,349196539;0,45665729
1094;3,533678756;0,413988631
1095;3,116859946;0,510394129
1096;3,038363171;0,528549549
1097;5,000852515;0,074647859
1098;4,413926499;0,210397239
1099;2;0,768711259
1101;3,476190476;0,427285023
1102;3,618152085;0,394450901
1103;4,572896841;0,173629188
1104;3,397665086;0,445447061
1105;3,733333333;0,367810775
1106;3,828027623;0,345909052
1107;3,203518268;0,490351034
1108;3,412776413;0,441951981
1109;4,416666667;0,209763469
