WijkBuurt;Regio;SoortRegio;RegioCode;Drank;Obesitas;Roker;LichGez;PsychGez;Eenzaam;GoedGez;SportBew;Mantelzorg
Amsterdam;Amsterdam;Gemeente;GM0363;41;13;28;33;9;13;74;56;9
Burgwallen-Oude Zijde;Amsterdam;Wijk;WK036300;25;8;34;27;7;12;82;65;8
Kop Zeedijk;Amsterdam;Buurt;BU03630000;24;8;35;27;7;12;83;65;8
Oude Kerk e.o.;Amsterdam;Buurt;BU03630001;26;8;36;27;8;13;81;65;7
Burgwallen Oost;Amsterdam;Buurt;BU03630002;27;8;34;27;7;13;82;65;7
Nes e.o.;Amsterdam;Buurt;BU03630003;22;6;34;23;7;11;86;69;6
BG-terrein e.o.;Amsterdam;Buurt;BU03630004;26;8;32;29;7;11;81;64;9
Burgwallen-Nieuwe Zijde;Amsterdam;Wijk;WK036301;24;7;35;25;7;12;84;66;7
Stationsplein e.o.;Amsterdam;Buurt;BU03630100;.;.;.;.;.;.;.;.;.
Hemelrijk;Amsterdam;Buurt;BU03630101;22;8;36;26;7;12;83;65;7
Nieuwendijk Noord;Amsterdam;Buurt;BU03630102;26;8;36;25;7;14;83;66;7
Spuistraat Noord;Amsterdam;Buurt;BU03630103;23;7;34;24;7;12;85;67;7
Nieuwe Kerk e.o.;Amsterdam;Buurt;BU03630104;23;7;35;23;7;12;86;68;6
Spuistraat Zuid;Amsterdam;Buurt;BU03630105;23;8;33;27;7;12;82;65;8
Begijnhofbuurt;Amsterdam;Buurt;BU03630106;29;9;33;31;8;13;79;63;8
Kalverdriehoek;Amsterdam;Buurt;BU03630107;21;6;34;23;6;11;86;68;7
Grachtengordel-West;Amsterdam;Wijk;WK036302;23;7;28;28;5;9;84;65;11
Langestraat e.o.;Amsterdam;Buurt;BU03630200;23;7;27;29;5;9;84;64;12
Leliegracht e.o.;Amsterdam;Buurt;BU03630201;22;6;29;27;5;10;85;66;10
Felix Meritisbuurt;Amsterdam;Buurt;BU03630202;22;7;28;28;5;10;84;65;10
Leidsegracht Noord;Amsterdam;Buurt;BU03630203;23;7;28;28;5;9;84;65;11
Grachtengordel-Zuid;Amsterdam;Wijk;WK036303;24;7;28;28;5;10;84;66;10
Spiegelbuurt;Amsterdam;Buurt;BU03630300;24;7;27;27;5;9;84;66;10
Gouden Bocht;Amsterdam;Buurt;BU03630301;25;7;29;28;5;10;83;66;9
Van Loonbuurt;Amsterdam;Buurt;BU03630302;24;7;26;29;5;9;83;65;11
Amstelveldbuurt;Amsterdam;Buurt;BU03630303;24;7;27;29;5;9;83;66;11
Rembrandtpleinbuurt;Amsterdam;Buurt;BU03630304;25;7;34;25;6;13;84;67;7
Reguliersbuurt;Amsterdam;Buurt;BU03630305;24;6;37;22;7;13;86;69;5
Leidsegracht Zuid;Amsterdam;Buurt;BU03630306;23;7;28;27;5;9;84;66;10
Nieuwmarkt/Lastage;Amsterdam;Wijk;WK036304;29;10;29;32;7;12;78;62;10
Oosterdokseiland;Amsterdam;Buurt;BU03630400;28;9;30;27;6;11;83;63;10
Scheepvaarthuisbuurt;Amsterdam;Buurt;BU03630401;22;7;29;27;5;9;84;66;10
Rapenburg;Amsterdam;Buurt;BU03630402;28;9;32;27;7;12;81;66;9
Lastage;Amsterdam;Buurt;BU03630403;26;9;29;31;6;10;80;64;10
Nieuwmarkt;Amsterdam;Buurt;BU03630404;34;12;29;39;8;13;70;57;11
Uilenburg;Amsterdam;Buurt;BU03630405;29;10;28;32;7;12;79;62;11
Valkenburg;Amsterdam;Buurt;BU03630406;30;10;27;33;6;11;78;61;11
Zuiderkerkbuurt;Amsterdam;Buurt;BU03630407;28;10;30;33;7;12;77;62;11
Waterloopleinbuurt;Amsterdam;Buurt;BU03630408;28;10;30;32;7;12;78;63;10
Haarlemmerbuurt;Amsterdam;Wijk;WK036305;30;10;29;33;7;11;77;60;11
Westerdokseiland;Amsterdam;Buurt;BU03630500;32;11;25;32;6;9;78;60;12
Haarlemmerbuurt Oost;Amsterdam;Buurt;BU03630501;26;10;30;32;7;11;78;62;10
Haarlemmerbuurt West;Amsterdam;Buurt;BU03630502;30;11;31;34;8;12;75;59;11
Westelijke eilanden;Amsterdam;Buurt;BU03630503;29;10;29;33;7;11;78;61;12
Planciusbuurt Noord;Amsterdam;Buurt;BU03630505;29;10;35;29;8;14;78;62;8
Planciusbuurt Zuid;Amsterdam;Buurt;BU03630506;32;13;36;39;11;17;69;57;11
Jordaan;Amsterdam;Wijk;WK036306;27;10;31;33;7;12;78;61;10
Driehoekbuurt;Amsterdam;Buurt;BU03630600;26;9;32;32;7;12;79;62;10
Bloemgrachtbuurt;Amsterdam;Buurt;BU03630602;26;9;30;31;6;11;80;62;10
Marnixbuurt Noord;Amsterdam;Buurt;BU03630603;32;12;32;36;9;13;73;58;10
Zaagpoortbuurt;Amsterdam;Buurt;BU03630604;26;9;38;29;9;15;79;63;7
Marnixbuurt Midden;Amsterdam;Buurt;BU03630605;23;7;33;23;6;10;86;67;6
Elandsgrachtbuurt;Amsterdam;Buurt;BU03630606;27;10;30;33;7;12;77;62;10
Passeerdersgrachtbuurt;Amsterdam;Buurt;BU03630607;26;9;29;33;6;12;78;62;11
Groenmarktkadebuurt;Amsterdam;Buurt;BU03630608;24;8;33;26;7;11;83;65;8
Marnixbuurt Zuid;Amsterdam;Buurt;BU03630609;30;9;28;35;7;13;75;58;9
Anjeliersbuurt Noord;Amsterdam;Buurt;BU03630610;26;9;30;32;6;11;79;61;11
Anjeliersbuurt Zuid;Amsterdam;Buurt;BU03630611;28;10;31;35;7;12;76;60;11
De Weteringschans;Amsterdam;Wijk;WK036307;24;7;29;28;6;10;83;66;9
Leidsebuurt Noordwest;Amsterdam;Buurt;BU03630700;23;7;32;25;6;11;85;68;8
Leidsebuurt Zuidwest;Amsterdam;Buurt;BU03630701;28;9;34;29;7;13;80;66;8
Leidsebuurt Noordoost;Amsterdam;Buurt;BU03630702;23;7;33;24;6;11;85;69;7
Leidsebuurt Zuidoost;Amsterdam;Buurt;BU03630703;25;8;30;29;6;11;81;67;9
Weteringbuurt;Amsterdam;Buurt;BU03630704;24;7;29;27;6;10;84;67;9
Den Texbuurt;Amsterdam;Buurt;BU03630705;25;8;26;30;5;9;82;66;11
Utrechtsebuurt Zuid;Amsterdam;Buurt;BU03630706;24;8;27;30;5;10;81;64;10
Frederikspleinbuurt;Amsterdam;Buurt;BU03630707;26;7;25;30;5;9;82;65;11
Weesperbuurt/Plantage;Amsterdam;Wijk;WK036308;29;9;30;31;7;12;78;63;9
Weesperbuurt;Amsterdam;Buurt;BU03630800;30;10;31;32;8;13;77;62;9
Sarphatistrook;Amsterdam;Buurt;BU03630801;30;9;32;30;8;13;78;63;9
Plantage;Amsterdam;Buurt;BU03630803;27;8;27;30;6;10;81;64;11
Alexanderplein e.o.;Amsterdam;Buurt;BU03630804;23;8;29;27;5;9;84;65;9
Oostelijke Eilanden/Kadijken;Amsterdam;Wijk;WK036309;34;12;29;34;8;12;75;60;11
Marine-Etablissement;Amsterdam;Buurt;BU03630900;28;10;29;29;6;11;82;63;11
Kattenburg;Amsterdam;Buurt;BU03630901;35;13;30;35;9;12;74;58;10
Wittenburg;Amsterdam;Buurt;BU03630902;36;13;29;36;9;13;74;59;11
Oostenburg;Amsterdam;Buurt;BU03630903;39;14;31;36;10;14;71;58;10
Czaar Peterbuurt;Amsterdam;Buurt;BU03630904;34;11;32;32;9;13;75;59;8
Het Funen;Amsterdam;Buurt;BU03630905;31;10;25;28;6;10;82;62;10
Kazernebuurt;Amsterdam;Buurt;BU03630907;33;12;31;36;8;13;74;60;12
Kadijken;Amsterdam;Buurt;BU03630908;30;11;27;34;7;11;77;61;12
Westelijk Havengebied;Amsterdam;Wijk;WK036310;35;14;35;35;8;16;73;48;10
Coenhaven/Mercuriushaven;Amsterdam;Buurt;BU03631000;32;10;27;27;6;15;82;57;9
Alfa-driehoek;Amsterdam;Buurt;BU03631001;38;11;28;23;7;14;84;56;6
Petroleumhaven;Amsterdam;Buurt;BU03631002;.;.;.;.;.;.;.;.;.
Westhaven Noord;Amsterdam;Buurt;BU03631003;31;17;28;38;7;10;74;45;15
Vervoerscentrum;Amsterdam;Buurt;BU03631004;.;.;.;.;.;.;.;.;.
Amerikahaven;Amsterdam;Buurt;BU03631005;38;16;39;38;10;19;68;44;10
Afrikahaven;Amsterdam;Buurt;BU03631006;.;.;.;.;.;.;.;.;.
Westhaven Zuid;Amsterdam;Buurt;BU03631007;24;10;40;27;9;15;81;56;6
Bedrijventerrein Sloterdijk;Amsterdam;Wijk;WK036311;39;13;35;28;9;18;78;54;8
Sloterdijk II;Amsterdam;Buurt;BU03631100;38;16;41;31;8;20;73;52;8
Sloterdijk III Oost;Amsterdam;Buurt;BU03631102;.;.;.;.;.;.;.;.;.
Sloterdijk III West;Amsterdam;Buurt;BU03631103;34;10;37;24;11;18;81;55;6
De Heining;Amsterdam;Buurt;BU03631104;38;17;28;34;5;9;77;44;13
Teleport;Amsterdam;Buurt;BU03631105;45;10;36;23;8;21;81;60;6
